,From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5,Date,year,month,day,hour,minute
0,01-01-2019 00:00,752.78,179.68,111.66,0.3,3.52,20.45,251.7,22.86,10.79,93.35,58.33,492.03,2019-01-01 00:00:00,2019,1,1,0,0
1,01-01-2019 08:00,408.19,135.13,148.64,0.53,4.57,9.75,189.21,22.68,13.86,104.4,31.63,266.16,2019-01-01 08:00:00,2019,1,1,8,0
2,01-01-2019 16:00,475.85,123.27,177.02,0.31,5.66,17.79,176.38,26.04,21.74,89.24,89.25,382.5,2019-01-01 16:00:00,2019,1,1,16,0
3,02-01-2019 00:00,771.27,357.61,106.05,0.3,5.96,20.9,350.56,61.84,5.99,109.64,99.34,545.28,2019-02-01 00:00:00,2019,2,1,0,0
4,02-01-2019 08:00,495.06,75.6,125.28,1.13,1.56,10.11,128.26,34.37,19.54,108.53,57.46,344.22,2019-02-01 08:00:00,2019,2,1,8,0
5,02-01-2019 16:00,610.09,85.58,165.28,0.31,4.64,19.41,145.05,26.71,17.16,100.88,63.73,365.91,2019-02-01 16:00:00,2019,2,1,16,0
6,03-01-2019 00:00,777.33,412.14,94.47,0.3,5.06,27.62,401.22,26.14,8.84,98.55,83.15,570.06,2019-03-01 00:00:00,2019,3,1,0,0
7,03-01-2019 08:00,522.16,162.34,180.76,1.09,2.68,12.12,228.45,23.51,12.86,99.51,43.87,358.97,2019-03-01 08:00:00,2019,3,1,8,0
8,03-01-2019 16:00,463.44,216.09,125.19,0.45,4.31,13.06,242.75,21.18,8.13,83.8,42.18,309.62,2019-03-01 16:00:00,2019,3,1,16,0
9,04-01-2019 00:00,369.34,130.62,57.55,0.38,3.15,10.14,137.11,19.49,2.02,74.97,26.86,290.91,2019-04-01 00:00:00,2019,4,1,0,0
10,04-01-2019 08:00,333.97,136.91,123.31,0.5,3.07,10.09,177.15,21.47,5.12,101.4,33.29,228.81,2019-04-01 08:00:00,2019,4,1,8,0
11,04-01-2019 16:00,590.25,320.18,137.6,0.3,4.25,19.01,331.04,29.47,9.81,92.29,66.47,356.12,2019-04-01 16:00:00,2019,4,1,16,0
12,05-01-2019 00:00,444.56,91.86,68.21,0.35,4.01,12.23,111.13,25.63,4.39,80.05,68.85,334.22,2019-05-01 00:00:00,2019,5,1,0,0
13,05-01-2019 08:00,285.22,17.27,81.8,2.26,5.58,8.19,57.58,25.09,8.04,85.09,31.82,203.44,2019-05-01 08:00:00,2019,5,1,8,0
14,05-01-2019 16:00,299.69,57.09,106.5,0.84,2.85,9.46,103.19,21.12,7.17,71.4,40.43,187.34,2019-05-01 16:00:00,2019,5,1,16,0
15,06-01-2019 00:00,273.31,45.84,66.23,0.93,4.48,7.45,72.6,22.26,2.96,65.11,37.56,212.31,2019-06-01 00:00:00,2019,6,1,0,0
16,06-01-2019 08:00,168.25,103.93,79.72,0.81,2.85,5.62,127.12,44.86,4.69,84.71,24.68,135.53,2019-06-01 08:00:00,2019,6,1,8,0
17,06-01-2019 16:00,384.5,235.97,117.7,0.3,3.49,11.76,251.77,22.6,7.54,90.65,44.02,227.72,2019-06-01 16:00:00,2019,6,1,16,0
18,07-01-2019 00:00,240.97,146.24,62.22,0.3,1.73,8.26,152.39,20.06,4.52,76.4,33.52,179.19,2019-07-01 00:00:00,2019,7,1,0,0
19,07-01-2019 08:00,304,151.56,126.17,0.92,2.72,9.44,190.67,21.62,8.43,105.53,35.14,204.91,2019-07-01 08:00:00,2019,7,1,8,0
20,07-01-2019 16:00,365.94,301.2,142.55,0.38,2.12,14.23,319.6,20.1,10.26,80.18,51.18,209.44,2019-07-01 16:00:00,2019,7,1,16,0
21,08-01-2019 00:00,237.53,166.69,70.66,0.32,1,7.24,173.52,20.69,4.92,60.22,28.47,154.19,2019-08-01 00:00:00,2019,8,1,0,0
22,08-01-2019 08:00,243.03,143.86,102.7,1.29,1.49,5.61,171.93,17.73,8.41,75.07,25.76,150.25,2019-08-01 08:00:00,2019,8,1,8,0
23,08-01-2019 16:00,259.56,199.07,117.69,0.5,2.08,8.18,224.99,13.64,8.11,67.43,34.72,153.53,2019-08-01 16:00:00,2019,8,1,16,0
24,09-01-2019 00:00,259.38,118.58,75.27,0.42,1.47,6.54,136.94,12.82,4.37,62.15,21.87,180.94,2019-09-01 00:00:00,2019,9,1,0,0
25,09-01-2019 08:00,240.56,118.91,105.04,1.95,1.62,5.51,152.82,16.04,10.3,59.88,27.95,126.28,2019-09-01 08:00:00,2019,9,1,8,0
26,09-01-2019 16:00,329.16,328.3,129.47,0.54,2.9,11.51,335.58,13.93,10.2,56.37,39.42,158.56,2019-09-01 16:00:00,2019,9,1,16,0
27,10-01-2019 00:00,341.34,248.39,98.81,0.3,1.72,9.76,255.04,12.5,4.95,56.78,30.38,189.06,2019-10-01 00:00:00,2019,10,1,0,0
28,10-01-2019 08:00,311,151.13,133.67,0.8,3.82,8.59,194.41,14.57,10.39,69.18,31.89,174.22,2019-10-01 08:00:00,2019,10,1,8,0
29,10-01-2019 16:00,533.28,256.54,141.4,0.32,3.02,17.41,278.03,14.01,16.22,65.63,57.14,253.12,2019-10-01 16:00:00,2019,10,1,16,0
30,11-01-2019 00:00,542.09,337.92,86.83,0.3,3.58,17.14,329.7,16.07,5.81,72.36,60.44,364.31,2019-11-01 00:00:00,2019,11,1,0,0
31,11-01-2019 08:00,399.5,62.76,121,0.85,6.85,10.07,115.5,22.15,21.67,95.43,46.19,285.69,2019-11-01 08:00:00,2019,11,1,8,0
32,11-01-2019 16:00,513.95,113.19,174.67,0.36,2.49,22.54,164.22,16.04,21.76,80.11,67.67,401.44,2019-11-01 16:00:00,2019,11,1,16,0
33,12-01-2019 00:00,764.67,413.36,126.56,0.3,1.9,30.82,431.52,15.93,10.64,92.88,84.06,620.41,2019-12-01 00:00:00,2019,12,1,0,0
34,12-01-2019 08:00,531.97,56.08,163.65,1.2,3.74,15.08,130.12,45.04,15.14,110.08,53.87,365.66,2019-12-01 08:00:00,2019,12,1,8,0
35,12-01-2019 16:00,468.25,127.34,163.07,0.38,1.9,19.6,181.09,17.1,17.47,99.49,70.3,349.88,2019-12-01 16:00:00,2019,12,1,16,0
36,13-01-2019 00:00,655.69,175.86,115.91,0.38,5.37,21.19,227.31,34.77,6.63,105.17,129.38,464.28,2019-01-13 00:00:00,2019,1,13,0,0
37,13-01-2019 08:00,378.69,63.67,123.95,0.59,4.28,10,117.85,25.76,14.23,118.16,44.11,266.44,2019-01-13 08:00:00,2019,1,13,8,0
38,13-01-2019 16:00,351.03,139.11,118.21,0.87,2.58,9.17,176.27,12.88,8.48,98.34,35.75,205.91,2019-01-13 16:00:00,2019,1,13,16,0
39,14-01-2019 00:00,142.12,128.55,63.46,0.68,2.61,4.88,138.49,12.59,4.12,61.93,18.36,88.56,2019-01-14 00:00:00,2019,1,14,0,0
40,14-01-2019 08:00,237.69,123.38,105.93,1.92,2.58,4.6,156.82,12.96,10.48,56.45,25.12,96.69,2019-01-14 08:00:00,2019,1,14,8,0
41,14-01-2019 16:00,201.56,131.68,97.9,1.24,2.01,5.75,159.19,10.22,6.94,54.27,22.9,96.53,2019-01-14 16:00:00,2019,1,14,16,0
42,15-01-2019 00:00,153.66,127.6,70.14,0.92,2.05,4.34,141.31,11.4,4.49,48.65,13.73,100.09,2019-01-15 00:00:00,2019,1,15,0,0
43,15-01-2019 08:00,282.25,175.73,107.92,1.3,1.63,6.97,200.78,10.85,10.36,51.64,32.71,143.75,2019-01-15 08:00:00,2019,1,15,8,0
44,15-01-2019 16:00,402.03,315.3,134.62,0.47,5.38,14,323.86,8.84,12.39,54.7,40.74,191.84,2019-01-15 16:00:00,2019,1,15,16,0
45,16-01-2019 00:00,652,326.04,104.03,0.3,4.6,22.55,340.14,10.34,8.21,64.66,67.82,401.41,2019-01-16 00:00:00,2019,1,16,0,0
46,16-01-2019 08:00,348.66,61.05,113.87,1.05,2.5,9.87,110.35,16.8,15.51,78.76,36.41,210.59,2019-01-16 08:00:00,2019,1,16,8,0
47,16-01-2019 16:00,504.92,113.88,165.08,0.41,2.1,17.4,169.83,10.85,16.83,83.35,70.94,367.25,2019-01-16 16:00:00,2019,1,16,16,0
